"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 21 discussion"
44.916666666666664,13
45,14
45.083333333333336,14
45.166666666666664,14
45.25,13
45.333333333333336,14
45.416666666666664,14
45.5,14
45.583333333333336,15
45.666666666666664,13
45.75,14
45.833333333333336,14
45.916666666666664,14
46,13
46.083333333333336,14
46.166666666666664,14
46.25,15
46.333333333333336,14
46.416666666666664,15
46.5,13
46.583333333333336,14
46.666666666666664,14
46.75,15
46.833333333333336,13
46.916666666666664,14
47,15
47.083333333333336,14
47.166666666666664,14
47.25,14
47.333333333333336,14
47.416666666666664,15
47.5,14
47.583333333333336,15
47.666666666666664,14
47.75,15
47.833333333333336,14
47.916666666666664,14
