"Hours since thread went live","Girls Band Cry - Episode 3 discussion"
37.333333333333336,556
37.416666666666664,560
37.5,559
37.583333333333336,557
37.666666666666664,560
37.75,561
37.833333333333336,561
37.916666666666664,564
38,557
38.083333333333336,560
38.166666666666664,561
38.25,560
38.333333333333336,562
38.416666666666664,562
38.5,559
38.583333333333336,563
38.666666666666664,563
38.75,563
38.833333333333336,557
38.916666666666664,563
39,562
39.083333333333336,563
39.166666666666664,562
39.25,558
39.333333333333336,561
39.416666666666664,564
39.5,560
39.583333333333336,566
39.666666666666664,563
39.75,560
39.833333333333336,560
39.916666666666664,564
40,561
40.083333333333336,564
40.166666666666664,563
40.25,559
40.333333333333336,562
40.416666666666664,562
40.5,560
40.583333333333336,568
40.666666666666664,560
40.75,562
40.833333333333336,566
40.916666666666664,563
41,563
41.083333333333336,567
41.166666666666664,560
41.25,562
41.333333333333336,565
41.416666666666664,563
41.5,565
41.583333333333336,565
41.666666666666664,567
41.75,565
41.833333333333336,565
41.916666666666664,559
42,562
42.083333333333336,563
42.166666666666664,571
42.25,568
42.333333333333336,569
42.416666666666664,566
42.5,563
42.583333333333336,567
42.666666666666664,570
42.75,567
42.833333333333336,563
42.916666666666664,566
43,564
43.083333333333336,566
43.166666666666664,562
43.25,566
43.333333333333336,567
43.416666666666664,570
43.5,566
43.583333333333336,565
43.666666666666664,565
43.75,567
43.833333333333336,563
43.916666666666664,569
44,570
44.083333333333336,567
44.166666666666664,571
44.25,573
44.333333333333336,566
44.416666666666664,564
44.5,565
44.583333333333336,569
44.666666666666664,567
44.75,569
44.833333333333336,568
44.916666666666664,566
45,570
45.083333333333336,564
45.166666666666664,566
45.25,568
45.333333333333336,572
45.416666666666664,562
45.5,567
45.583333333333336,564
45.666666666666664,565
45.75,571
45.833333333333336,568
45.916666666666664,565
46,561
46.083333333333336,568
46.166666666666664,566
46.25,571
46.333333333333336,570
46.416666666666664,567
46.5,568
46.583333333333336,572
46.666666666666664,565
46.75,573
46.833333333333336,567
46.916666666666664,565
47,568
47.083333333333336,568
47.166666666666664,572
47.25,570
47.333333333333336,569
47.416666666666664,571
47.5,573
47.583333333333336,568
47.666666666666664,566
47.75,564
47.833333333333336,568
47.916666666666664,570
