"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 8 discussion"
34.583333333333336,1336
34.666666666666664,1334
34.75,1336
34.833333333333336,1340
34.916666666666664,1336
35,1340
35.083333333333336,1341
35.166666666666664,1335
35.25,1334
35.333333333333336,1341
35.416666666666664,1338
35.5,1341
35.583333333333336,1334
35.666666666666664,1342
35.75,1345
35.833333333333336,1340
35.916666666666664,1339
36,1346
36.083333333333336,1340
36.166666666666664,1345
36.25,1338
36.333333333333336,1343
36.416666666666664,1347
36.5,1342
36.583333333333336,1345
36.666666666666664,1344
36.75,1343
36.833333333333336,1345
36.916666666666664,1344
37,1345
37.083333333333336,1346
37.166666666666664,1348
37.25,1342
37.333333333333336,1349
37.416666666666664,1346
37.5,1352
37.583333333333336,1349
37.666666666666664,1344
37.75,1345
37.833333333333336,1348
37.916666666666664,1344
38,1345
38.083333333333336,1349
38.166666666666664,1347
38.25,1344
38.333333333333336,1350
38.416666666666664,1347
38.5,1351
38.583333333333336,1349
38.666666666666664,1348
38.75,1357
38.833333333333336,1356
38.916666666666664,1353
39,1353
39.083333333333336,1352
39.166666666666664,1357
39.25,1358
39.333333333333336,1354
39.416666666666664,1353
39.5,1351
39.583333333333336,1360
39.666666666666664,1356
39.75,1351
39.833333333333336,1357
39.916666666666664,1353
40,1358
40.083333333333336,1355
40.166666666666664,1354
40.25,1360
40.333333333333336,1358
40.416666666666664,1360
40.5,1361
40.583333333333336,1357
40.666666666666664,1360
40.75,1362
40.833333333333336,1359
40.916666666666664,1357
41,1360
41.083333333333336,1362
41.166666666666664,1362
41.25,1356
41.333333333333336,1361
41.416666666666664,1359
41.5,1357
41.583333333333336,1360
41.666666666666664,1359
41.75,1361
41.833333333333336,1362
41.916666666666664,1359
42,1354
42.083333333333336,1361
42.166666666666664,1354
42.25,1355
42.333333333333336,1360
42.416666666666664,1358
42.5,1359
42.583333333333336,1363
42.666666666666664,1359
42.75,1361
42.833333333333336,1358
42.916666666666664,1358
43,1364
43.083333333333336,1365
43.166666666666664,1356
43.25,1359
43.333333333333336,1357
43.416666666666664,1361
43.5,1362
43.583333333333336,1359
43.666666666666664,1359
43.75,1364
43.833333333333336,1360
43.916666666666664,1363
44,1366
44.083333333333336,1363
44.166666666666664,1362
44.25,1357
44.333333333333336,1365
44.416666666666664,1359
44.5,1359
44.583333333333336,1363
44.666666666666664,1359
44.75,1365
44.833333333333336,1358
44.916666666666664,1364
45,1360
45.083333333333336,1362
45.166666666666664,1355
45.25,1362
45.333333333333336,1361
